Country Code,Number of operating production plants,Production capacity (million tonnes),2018 production (million tonnes)
CN,2240,34502394,20250000
CA,44,4168000,2700000
VN,,,2560036
DE,55,3750000,2415000
SE,64,2300000,1834736
RU,87,2175000,1612835
LV,27,1950000,1577100
FR,52,1800000,1500000
AT,42,1630000,1345000
EE,23,1612000,1290300
PL,63,1400000,1200000
US,82,11995034,820000
PT,26,1300000,782906
BE,12,760000,660000
MY,,,596025
ES,80,1760000,593000
RO,20,800000,500000
BR,19,1210000,428000
IT,30,450000,400000
LT,19,480000,400000
UA,313,,390000
CZ,28,480000,385000
FI,28,630000,385000
RS,69,541000,324086
TH,,,317029
HR,21,370000,305000
BA,32,360000,305000
NL,4,350000,290000
UK,6,303903,258600
CH,24,280000,227000
ID,,,224167
BY,,,220000
DK,5,300000,195000
BG,59,302000,162000
SK,11,250000,160000
AU,10,400000,130000
CL,20,138600,121412
SI,18,150000,110000
NZ,3,155000,75000
NO,4,105000,57368
AL,11,52000,44200
ME,7,65000,42400
EL,24,135000,40000
IE,1,40000,30600
HU,,,11490
