Name,Plant
BELLEVILLE-1,BELLEVILLE
BELLEVILLE-2,BELLEVILLE
BLAYAIS-1,BLAYAIS
BLAYAIS-2,BLAYAIS
BLAYAIS-3,BLAYAIS
BLAYAIS-4,BLAYAIS
BUGEY-2,BUGEY
BUGEY-3,BUGEY
BUGEY-4,BUGEY
BUGEY-5,BUGEY
CATTENOM-1,CATTENOM
CATTENOM-2,CATTENOM
CATTENOM-3,CATTENOM
CATTENOM-4,CATTENOM
CHINON-1,CHINON
CHINON-2,CHINON
CHINON-3,CHINON
CHINON-4,CHINON
CHOOZ-1,CHOOZ
CHOOZ-2,CHOOZ
CIVAUX-1,CIVAUX
CIVAUX-2,CIVAUX
CRUAS-1,CRUAS
CRUAS-2,CRUAS
CRUAS-3,CRUAS
CRUAS-4,CRUAS
DAMPIERRE-1,DAMPIERRE
DAMPIERRE-2,DAMPIERRE
DAMPIERRE-3,DAMPIERRE
DAMPIERRE-4,DAMPIERRE
FLAMANVILLE-1,FLAMANVILLE
FLAMANVILLE-2,FLAMANVILLE
GOLFECH-1,GOLFECH
GOLFECH-2,GOLFECH
GRAVELINES-1,GRAVELINES
GRAVELINES-2,GRAVELINES
GRAVELINES-3,GRAVELINES
GRAVELINES-4,GRAVELINES
GRAVELINES-5,GRAVELINES
GRAVELINES-6,GRAVELINES
NOGENT-1,NOGENT
NOGENT-2,NOGENT
PALUEL-1,PALUEL
PALUEL-2,PALUEL
PALUEL-3,PALUEL
PALUEL-4,PALUEL
PENLY-1,PENLY
PENLY-2,PENLY
ST-ALBAN-1,ST-ALBAN
ST-ALBAN-2,ST-ALBAN
ST-LAURENT-1,ST-ALBAN
ST-LAURENT-2,ST-ALBAN
TRICASTIN-1,TRICASTIN
TRICASTIN-2,TRICASTIN
TRICASTIN-3,TRICASTIN
TRICASTIN-4,TRICASTIN
