Dates,macro.us.rate.gdp.year.yoy.pct,macro.eu.rate.gdp.year.yoy.pct,macro.jp.rate.gdp.year.yoy.pct,macro.uk.rate.gdp.year.yoy.pct,macro.cn.rate.gdp.year.yoy.pct,macro.in.rate.gdp.year.yoy.pct,macro.bz.rate.gdp.year.yoy.pct,macro.ru.rate.gdp.year.yoy.pct,macro.ad.rate.year.yoy.pct,macro.em.rate.year.yoy.pct,macro.wd.rate.year.yoy.pct,macro.bd.rate.year.yoy.pct,macro.fr.rate.year.yoy.pct,macro.it.rate.year.yoy.pct,macro.es.rate.year.yoy.pct,,,,
2006-12-31,2.78,1.66,1.80,2.59,11.39,9.29,3.20,6.38,3.05,7.91,5.42,4.00,2.64,1.88,4.10,,,,
2007-12-31,2.01,3.22,1.37,2.58,12.71,9.26,3.96,8.15,2.73,8.38,5.56,3.09,2.38,1.34,3.60,,,,
2008-12-31,0.12,2.99,1.48,2.27,14.25,9.80,6.07,8.54,0.32,5.65,3.05,0.68,0.16,-0.97,0.89,,,,
2009-12-31,-2.60,0.41,-1.22,-0.24,9.59,3.89,5.09,5.25,-3.34,2.82,-0.09,-5.64,-2.79,-5.32,-3.76,,,,
2010-12-31,2.71,-4.50,-5.69,-4.25,9.45,8.48,-0.13,-7.82,3.16,7.39,5.43,4.04,1.82,1.67,0.16,,,,
2011-12-31,1.55,2.14,4.10,2.13,10.61,10.26,7.53,4.50,1.76,6.37,4.29,3.99,2.21,0.85,-0.81,,,,
2012-12-31,2.28,1.69,0.02,1.46,9.55,6.64,3.97,5.07,1.21,5.45,3.57,0.62,0.36,-3.01,-2.96,,,,
2013-12-31,1.84,-0.88,1.38,1.47,7.85,5.46,1.92,4.02,1.40,5.00,3.42,0.55,0.68,-1.86,-1.44,,,,
2014-12-31,2.29,-0.23,2.01,1.89,7.77,6.39,3.01,1.76,2.00,4.70,3.52,2.20,0.96,0.07,1.38,,,,
2015-12-31,2.71,1.39,0.30,2.99,7.39,7.41,0.50,0.74,2.31,4.31,3.42,1.24,1.06,0.66,3.84,,,,
2016-12-31,1.67,2.04,1.56,2.62,7.02,8.00,-3.55,-1.97,1.79,4.41,3.25,2.14,0.98,1.40,3.03,,,,
2017-12-31,2.26,1.86,0.75,2.26,6.85,8.26,-3.28,0.19,2.48,4.74,3.75,2.99,2.45,1.74,2.97,,,,
2018-12-31,2.92,2.62,1.68,2.13,6.95,6.80,1.32,1.83,2.29,4.63,3.61,1.10,1.82,0.81,2.29,,,,
2019-12-31,2.29,1.83,0.58,1.65,6.75,6.45,1.78,2.81,1.75,3.71,2.87,1.09,1.88,0.50,2.09,,,,
2020-12-31,-3.41,1.58,-0.24,1.67,5.95,3.74,1.22,2.20,-4.49,-2.01,-3.06,-4.93,-7.90,-9.09,-10.82,,,,
2021-12-31,5.67,5.34,1.71,7.44,8.10,8.27,4.95,4.65,1.90,2.22,2.11,2.87,6.76,6.62,5.13,,,,
2022-12-31,1.60,2.46,0.64,3.33,2.09,7.19,1.53,-9.23,1.01,3.74,2.54,1.24,2.10,2.61,3.68,,,,
2023-12-31,0.85,0.94,0.98,0.32,4.49,4.33,0.65,1.05,2.36,4.40,3.55,0.88,0.78,0.78,1.03,,,,
