name,type,longitude,latitude,capacity(Bcm/y),storage(*1000m3 LNG)
Zeebrugge,onshore,3.226454,51.352607,11.40,566
Krk Island,FSRU,14.511021,45.401756,2.60,140
Dunkerque LNG,onshore,2.201389,51.038233,13.00,600
Fos Cavaou,onshore,4.900077,43.42558,8.50,330
Fos Tonkin,onshore,4.848312908,43.45611816,1.50,80
Montoir de Bretagne,onshore,-2.137337,47.303507,10.00,360
Revithoussa,onshore,23.403324,37.96,7.00,225
OLT Offshore Toscana,FSRU,10.304468,43.545909,3.55,138
Panigaglia,onshore,9.831326,44.074267,3.40,100
Porto Levante,onshore,12.246093,45.058992,8.58,250
Independence,FSRU,21.137307,55.664622,4.00,170
Delimara,FSRU,14.554347,35.826672,0.70,125
Gate terminal,onshore,4.072038,51.974241,12.00,540
Swinoujscie,onshore,14.295513,53.906852,6.20,320
Sines,onshore,-8.858809,37.936488,7.60,390
Kaliningrad,FSRU,20.362926,54.983699,3.70,0
Barcelona,onshore,2.151423,41.33112,17.10,760
Bilbao,onshore,-3.096284,43.364823,7.00,450
Cartagena,onshore,-0.9595,37.57457,11.80,587
Gijon (Musel),onshore,-5.6934,43.5696,7.00,300
Huelva,onshore,-6.911,37.17355,11.80,620
Mugardos,onshore,-8.2370391,43.46150191,3.60,300
Sagunto,onshore,-0.218055,39.637265,8.80,600
Aliaga Etki,FSRU,27.129,38.422,7.30,167
Aliaga Izmir,onshore,26.920509,38.819926,13.80,280
Dortyol,FSRU,36.144668,36.875224,9.70,170
Marmara Ereglisi,onshore,27.955278,40.969722,12.80,255
Isle of Grain,onshore,0.680907,51.44726,19.50,1000
Milford Haven Dragon LNG,onshore,-4.98787083,51.71248393,7.60,320
Milford Haven South Hook LNG,onshore,-5.036532,51.859262,21.00,775
